lsoa11cd,nhstrustcd,nhstrustnm
E01002912,RQM,Chelsea and Westminster Hospital NHS Foundation Trust
E01033088,RWF,Maidstone and Tunbridge Wells NHS Trust
E01002042,RRP,"Barnet, Enfield and Haringey Mental Health NHS Trust"
E01002249,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust"
E01033594,RYJ,Imperial College Healthcare NHS Trust
E01026863,RY3,Norfolk Community Health and Care NHS Trust
E01023800,RWH,East and North Hertfordshire NHS Trust
E01033617,RQ3,Birmingham Women's and Children's NHS Foundation Trust
E01002701,RP6,Moorfields Eye Hospital NHS Foundation Trust
E01031731,RPC,Queen Victoria Hospital NHS Foundation Trust
E01016862,RXH,Brighton and Sussex University Hospitals NHS Trust
E01000915,RP4,Great Ormond Street Hospital for Children NHS Foundation Trust
E01004323,R1H,Barts Health NHS Trust
E01006747,REM,Liverpool University Hospitals NHS Foundation Trust
E01011952,RVW,North Tees and Hartlepool NHS Foundation Trust
E01029725,RRE,Midlands Partnership NHS Foundation Trust
E01002770,RKE,Whittington Health NHS Trust
E01002914,RT3,Royal Brompton and Harefield NHS Foundation Trust
E01022116,RTE,Gloucestershire Hospitals NHS Foundation Trust
E01000898,RAL,Royal Free London NHS Foundation Trust
E01030572,RTP,Surrey and Sussex Healthcare NHS Trust
E01002412,RAS,Hillingdon Hospitals NHS Foundation Trust
E01011677,RR8,Leeds Teaching Hospitals NHS Trust
E01001178,RJ6,Croydon Health Services NHS Trust
E01002773,RKE,Whittington Health NHS Trust
E01003076,RJZ,King's College Hospital NHS Foundation Trust
E01024152,RPG,Oxleas NHS Foundation Trust
E01004626,RQY,South West London and St George's Mental Health NHS Trust
E01014428,RVN,Avon and Wiltshire Mental Health Partnership NHS Trust
E01015092,RK9,University Hospitals Plymouth NHS Trust
E01007942,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust
E01032574,RAP,North Middlesex University Hospital NHS Trust
E01000883,RNK,Tavistock and Portman NHS Foundation Trust
E01000958,TAF,Camden and Islington NHS Foundation Trust
E01012355,RXP,County Durham and Darlington NHS Foundation Trust
E01002954,RAX,Kingston Hospital NHS Foundation Trust
E01033593,RYJ,Imperial College Healthcare NHS Trust
E01019205,RNN,North Cumbria Integrated Care NHS Foundation Trust
E01008356,RX4,"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust"
E01018855,REF,Royal Cornwall Hospitals NHS Trust
E01010476,RL4,Royal Wolverhampton NHS Trust
E01020013,RWV,Devon Partnership NHS Trust
E01003013,RJ1,Guy's and St Thomas' NHS Foundation Trust
E01005034,RXV,Greater Manchester Mental Health NHS Foundation Trust
E01025763,RT5,Leicestershire Partnership NHS Trust
E01012457,RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust
E01030142,RGR,West Suffolk NHS Foundation Trust
E01013647,RWE,University Hospitals of Leicester NHS Trust
E01018616,RJN,East Cheshire NHS Trust
E01009884,RNA,Dudley Group NHS Foundation Trust
E01004326,R1H,Barts Health NHS Trust
E01005719,RM3,Northern Care Alliance NHS Ft
E01000882,RNK,Tavistock and Portman NHS Foundation Trust
E01033694,TAD,Bradford District Care NHS Foundation Trust
E01014236,RLY,North Staffordshire Combined Healthcare NHS Trust
E01017251,RHM,University Hospital Southampton NHS Foundation Trust
E01033417,RHW,Royal Berkshire NHS Foundation Trust
E01003291,RJ2,Lewisham and Greenwich NHS Trust
E01033619,RXT,Birmingham and Solihull Mental Health NHS Foundation Trust
E01027677,NRR8,NHS Nightingale Hospital Yorkshire and The Humber
E01011884,RXG,South West Yorkshire Partnership NHS Foundation Trust
E01007567,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust
E01026125,RWD,United Lincolnshire Hospitals NHS Trust
E01032767,RWK,East London NHS Foundation Trust
E01004322,R1H,Barts Health NHS Trust
E01005164,RW6,Pennine Acute Hospitals NHS Trust
E01014011,RLQ,Wye Valley NHS Trust
E01005944,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust
E01006374,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust"
E01016895,RDR,Sussex Community NHS Foundation Trust
E01016414,RHW,Royal Berkshire NHS Foundation Trust
E01008219,RR7,Gateshead Health NHS Foundation Trust
E01031829,RX2,Sussex Partnership NHS Foundation Trust
E01016045,RPA,Medway NHS Foundation Trust
