LSOA Code,nc_atmn_2021,nc_sprng_2021,nc_smmr_2021,nc_wntr_2021,nc_wntr_2022
E01000006,63.13,8.44,52.22,167.46,14.12
E01000007,80.64,10.79,66.69,213.89,18.03
E01000008,47.54,6.36,39.32,126.09,10.63
E01000009,58.42,7.81,48.32,154.96,13.07
E01000010,108.85,14.56,90.03,288.72,24.34
E01000011,52.28,6.99,43.24,138.66,11.69
E01000012,70.74,9.46,58.51,187.63,15.82
E01000013,55.02,7.36,45.51,145.94,12.31
E01000014,50.7,6.78,41.93,134.47,11.34
E01000015,71.42,9.55,59.07,189.45,15.97
E01000016,51.86,6.94,42.89,137.56,11.6
E01000017,44.85,6.0,37.1,118.97,10.03
E01000018,51.41,6.88,42.52,136.37,11.5
E01000019,45.63,6.1,37.74,121.02,10.2
E01000020,56.12,7.51,46.42,148.87,12.55
E01000021,52.28,6.99,43.24,138.66,11.69
E01000022,43.03,5.76,35.59,114.14,9.62
E01000023,115.08,15.39,95.18,305.25,25.74
E01000024,45.78,6.12,37.86,121.42,10.24
E01000025,49.92,6.68,41.29,132.41,11.16
E01000027,54.54,7.3,45.11,144.68,12.2
E01000028,50.64,6.77,41.88,134.31,11.32
E01000029,53.8,7.2,44.5,142.7,12.03
E01000030,71.42,9.55,59.07,189.45,15.97
E01000031,52.99,7.09,43.83,140.56,11.85
E01000032,58.45,7.82,48.34,155.04,13.07
E01000033,47.21,6.31,39.05,125.22,10.56
E01000034,48.73,6.52,40.3,129.25,10.9
E01000035,55.32,7.4,45.75,146.73,12.37
E01000036,43.93,5.88,36.33,116.52,9.82
E01000037,55.8,7.46,46.15,148.0,12.48
E01000038,42.41,5.67,35.07,112.48,9.48
E01000039,51.26,6.86,42.4,135.97,11.46
E01000040,53.74,7.19,44.45,142.54,12.02
E01000041,53.98,7.22,44.64,143.17,12.07
E01000042,60.33,8.07,49.9,160.02,13.49
E01000043,45.69,6.11,37.79,121.18,10.22
E01000044,61.31,8.2,50.71,162.63,13.71
E01000045,53.8,7.2,44.5,142.7,12.03
E01000046,57.7,7.72,47.73,153.06,12.91
E01000048,26.18,3.5,21.66,69.45,5.86
E01000049,54.07,7.23,44.72,143.41,12.09
E01000050,58.87,7.87,48.69,156.14,13.17
E01000051,30.45,4.07,25.18,80.76,6.81
E01000052,68.77,9.2,56.88,182.41,15.38
E01000053,48.52,6.49,40.13,128.7,10.85
E01000054,58.3,7.8,48.22,154.64,13.04
E01000055,50.97,6.82,42.15,135.18,11.4
E01000056,49.53,6.63,40.97,131.39,11.08
E01000057,46.37,6.2,38.35,123.0,10.37
E01000058,60.45,8.09,50.0,160.34,13.52
E01000059,49.38,6.61,40.85,130.99,11.04
E01000060,58.78,7.86,48.62,155.91,13.15
E01000061,55.83,7.47,46.17,148.08,12.49
E01000062,72.62,9.71,60.06,192.61,16.24
E01000063,54.72,7.32,45.26,145.15,12.24
E01000064,66.05,8.83,54.63,175.21,14.77
E01000065,53.11,7.1,43.93,140.88,11.88
E01000066,67.52,9.03,55.84,179.08,15.1
E01000067,68.71,9.19,56.83,182.25,15.37
E01000068,46.82,6.26,38.72,124.19,10.47
E01000069,57.29,7.66,47.38,151.95,12.81
E01000070,66.38,8.88,54.9,176.08,14.85
E01000071,79.33,10.61,65.61,210.41,17.74
E01000072,64.18,8.58,53.08,170.22,14.35
E01000073,51.95,6.95,42.97,137.79,11.62
E01000074,49.15,6.57,40.65,130.36,10.99
E01000075,56.75,7.59,46.94,150.53,12.69
E01000076,64.44,8.62,53.3,170.94,14.41
E01000077,47.3,6.33,39.12,125.45,10.58
E01000078,56.9,7.61,47.06,150.92,12.73
E01000079,53.05,7.1,43.88,140.72,11.87
E01000080,48.37,6.47,40.01,128.3,10.82
E01000081,56.15,7.51,46.44,148.95,12.56
E01000082,62.27,8.33,51.5,165.16,13.93
E01000083,58.33,7.8,48.25,154.72,13.05
E01000084,42.17,5.64,34.88,111.85,9.43
E01000085,56.06,7.5,46.37,148.71,12.54
E01000086,43.87,5.87,36.28,116.36,9.81
E01000087,48.82,6.53,40.38,129.49,10.92
