LSOA Code,tot_cases_spring_2021,tot_cases_summer_2021
E01000006,28.78,164.09
E01000007,36.77,209.59
E01000008,21.67,123.55
E01000009,26.64,151.84
E01000010,49.63,282.92
E01000011,23.84,135.88
E01000012,32.25,183.86
E01000013,25.09,143.01
E01000014,23.11,131.77
E01000015,32.56,185.64
E01000016,23.65,134.79
E01000017,20.45,116.58
E01000018,23.44,133.63
E01000019,20.8,118.59
E01000020,25.59,145.88
E01000021,23.84,135.88
E01000022,19.62,111.85
E01000023,52.47,299.12
E01000024,20.87,118.98
E01000025,22.76,129.75
E01000027,24.87,141.77
E01000028,23.09,131.61
E01000029,24.53,139.83
E01000030,32.56,185.64
E01000031,24.16,137.74
E01000032,26.65,151.92
E01000033,21.52,122.7
E01000034,22.22,126.65
E01000035,25.22,143.78
E01000036,20.03,114.17
E01000037,25.44,145.02
E01000038,19.33,110.22
E01000039,23.37,133.24
E01000040,24.5,139.68
E01000041,24.61,140.3
E01000042,27.51,156.81
E01000043,20.83,118.75
E01000044,27.96,159.36
E01000045,24.53,139.83
E01000046,26.31,149.98
E01000048,11.94,68.05
E01000049,24.65,140.53
E01000050,26.84,153.01
E01000051,13.88,79.14
E01000052,31.35,178.74
E01000053,22.12,126.11
E01000054,26.58,151.53
E01000055,23.24,132.47
E01000056,22.58,128.75
E01000057,21.14,120.53
E01000058,27.56,157.12
E01000059,22.52,128.36
E01000060,26.8,152.77
E01000061,25.45,145.1
E01000062,33.11,188.74
E01000063,24.95,142.23
E01000064,30.12,171.69
E01000065,24.22,138.05
E01000066,30.78,175.49
E01000067,31.33,178.59
E01000068,21.35,121.69
E01000069,26.12,148.9
E01000070,30.27,172.54
E01000071,36.17,206.18
E01000072,29.26,166.8
E01000073,23.69,135.02
E01000074,22.41,127.74
E01000075,25.87,147.5
E01000076,29.38,167.5
E01000077,21.56,122.93
E01000078,25.94,147.89
E01000079,24.19,137.89
E01000080,22.05,125.72
E01000081,25.6,145.95
E01000082,28.39,161.84
E01000083,26.6,151.61
E01000084,19.23,109.6
E01000085,25.56,145.72
E01000086,20.0,114.02
E01000087,22.26,126.89
E01000088,28.95,165.02
E01000089,25.55,145.64
E01000090,23.79,135.64
E01000091,28.28,161.22
E01000092,82.33,469.33
E01000093,24.32,138.67
E01000094,31.63,180.29
E01000095,25.24,143.86
E01000096,25.26,144.02
E01000097,24.47,139.52
E01000098,24.54,139.91
E01000099,33.82,192.77
E01000100,24.19,137.89
E01000101,21.33,121.62
E01000102,20.93,119.29
E01000103,23.4,133.4
E01000104,27.4,156.19
E01000105,31.68,180.6
E01000106,29.7,169.28
E01000107,24.16,137.74
E01000108,25.96,147.97
E01000109,38.94,221.99
E01000110,20.19,115.1
E01000111,27.98,159.52
E01000112,28.99,165.25
E01000113,24.94,142.16
E01000114,33.9,193.24
E01000115,7.31,62.86
E01000116,9.54,82.06
E01000117,9.92,85.35
E01000118,12.02,103.36
E01000119,9.73,83.68
E01000120,8.12,69.86
E01000121,8.11,69.72
E01000122,7.97,68.58
E01000123,9.86,84.83
E01000124,9.88,84.97
E01000125,18.32,157.6
E01000126,12.36,106.32
E01000127,8.64,74.34
E01000128,11.0,94.6
E01000129,10.35,88.97
E01000130,10.0,85.97
E01000131,11.4,98.03
E01000132,8.76,75.34
E01000133,9.27,79.73
E01000134,9.66,83.06
E01000135,9.7,83.4
E01000136,9.14,78.58
E01000137,9.36,80.49
E01000138,8.81,75.77
E01000139,9.04,77.77
E01000140,12.02,103.36
E01000141,12.51,107.61
E01000142,14.9,128.15
E01000143,8.64,74.29
E01000144,9.96,85.68
E01000145,9.62,82.73
E01000146,12.08,103.89
E01000147,10.45,89.88
E01000148,17.62,151.54
E01000150,12.41,106.7
E01000151,9.79,84.16
E01000152,11.31,97.31
E01000153,9.79,84.21
